"id","country","fact_number","fact"
"843","Maldives","3","It has the lowest elevation of any country."
"844","Maldives","4","It hosts the world’s largest underwater sculpture park."
"845","Maldives","5","It has a unique tradition of giving birthday gifts."
"846","Maldives","6","Some beaches glow at night due to bioluminescent plankton."
"847","Maldives","7","The capital is one of the most densely populated cities globally."
"848","Maldives","8","It has a tropical climate with two monsoon seasons."
"849","Maldives","9","It is famous for overwater bungalows."
"850","Maldives","10","It is located in the Indian Ocean, southwest of two South Asian countries."
"851","Mongolia","1","The first dinosaur egg ever discovered was found in this country’s vast desert, a hotspot for paleontological finds."
"852","Mongolia","2","A mountain near the capital, protected since 1778, is considered the world’s first national park."
"853","Mongolia","3","The population of horses nearly equals the human population, with about 3.2 million of each."
"854","Mongolia","4","It has a musical tradition where singers produce multiple pitches simultaneously, creating a haunting sound."
"855","Mongolia","5","Many residents live as nomads, using portable homes called gers that can be assembled in hours."
"856","Mongolia","6","It’s called the ""land of blue sky"" due to over 250 sunny days a year."
"857","Mongolia","7","Bactrian camels, with two humps, are native to its arid regions."
"858","Mongolia","8","It’s one of the least densely populated countries, with vast steppes and deserts."
"859","Mongolia","9","It was the heart of a 13th-century empire that stretched across much of Asia and Europe."
"860","Mongolia","10","It is located in Central Asia, bordered by Russia and China."
"861","Myanmar","1","Over 135 ethnic groups contribute to its vibrant cultural mosaic."
"862","Myanmar","2","It was known by a different name until 1989, a change not universally recognized due to political reasons."
"863","Myanmar","3","Locals apply a yellow paste from tree bark to their faces for sun protection and beauty."
"864","Myanmar","4","Children are named based on the day of their birth, tied to astrological beliefs."
"865","Myanmar","5","Both men and women wear a longyi, a cloth wrapped around the waist, styled differently by gender."
"866","Myanmar","6","It boasts thousands of Buddhist pagodas, with one ancient city housing over 2,000."
"867","Myanmar","7","A massive water fight marks the New Year celebration in April."
"868","Myanmar","8","The capital moved from a bustling coastal city to a newly built inland city in 2005."
"869","Myanmar","9","It lies on a geologically active zone, experiencing frequent earthquakes."
"870","Myanmar","10","It is located in Southeast Asia, bordered by Bangladesh, India, China, Laos, and Thailand."
"871","Nepal","1","Its calendar is 56 years and 8 months ahead of the Gregorian calendar."
"872","Nepal","2","Cows are revered as sacred, and killing them is illegal."
"873","Nepal","3","It hosts the world’s highest lake, Tilicho, at 4,919 meters above sea level."
"874","Nepal","4","Over 120 languages are spoken, reflecting its ethnic richness."
"875","Nepal","5","It has never been under foreign rule, making it one of South Asia’s oldest independent nations."
"876","Nepal","6","The site of Buddha’s birth is a UNESCO World Heritage Site."
"877","Nepal","7","It’s the origin of a sport where players ride elephants to play polo."
"878","Nepal","8","Eight of the world’s ten tallest peaks are found here."
"879","Nepal","9","Its flag is the only non-rectangular national flag, featuring two triangles."
"880","Nepal","10","It is located in South Asia, bordered by China and India."
"881","North Korea","1","It’s one of the most digitally isolated countries, with citizens accessing only government-approved websites."
"882","North Korea","2","Its calendar starts from the birth year of its first leader, placing it decades ahead of the global standard."
"883","North Korea","3","Citizens must wear badges featuring the image of the country’s leader."
"884","North Korea","4","The capital’s metro system doubles as a nuclear shelter."
"885","North Korea","5","Owning certain religious texts, like the Bible, can lead to severe punishment."
"886","North Korea","6","A system called ""songbun"" ranks citizens based on their loyalty to the regime."
"887","North Korea","7","It hosts large-scale synchronized performances involving thousands of participants."
"888","North Korea","8","Over 80% of its land is mountainous, with a sacred peak revered in local culture."
"889","North Korea","9","It’s governed by a single political ideology emphasizing self-reliance."
"890","North Korea","10","It is located in East Asia, bordered by China, Russia, and South Korea."
"891","Oman","1","Humans have lived here for at least 106,000 years, one of the oldest inhabited regions."
"892","Oman","2","Decorated, carved doors are a cultural hallmark, symbolizing status."
"893","Oman","3","Its southern region receives unique monsoon rains, unlike its arid surroundings."
"894","Oman","4","The Arabian Oryx, its national animal, is protected in dedicated reserves."
"895","Oman","5","It’s famous for harvesting a fragrant resin used in perfumes and rituals."
"896","Oman","6","Pork is prohibited due to the predominant religion."
"897","Oman","7","This traditional sport of camel racing draws crowds with its thrilling competitions."
"898","Oman","8","About 80% of its land is desert, including part of the vast Empty Quarter."
"899","Oman","9","It was a major maritime power in the 19th century, influencing trade routes."
"900","Oman","10","It is located in the Middle East, bordered by Saudi Arabia, the UAE, and Yemen."
"901","Pakistan","1","It hosts the world’s highest ATM at 16,007 feet, located at a mountain pass."
"902","Pakistan","2","A family here holds a record with nine members born on the same day, August 1."
"903","Pakistan","3","Despite cricket’s popularity, field hockey is the national sport."
"904","Pakistan","4","It’s home to one of the world’s oldest civilizations, dating back to 2500 BCE."
"905","Pakistan","5","Over half the world’s hand-sewn footballs are made in one of its cities."
"906","Pakistan","6","Intricate henna designs are a staple at weddings and festivals."
"907","Pakistan","7","It has the world’s largest canal-based irrigation system."
"908","Pakistan","8","It boasts the second- and third-highest peaks globally."
"909","Pakistan","9","With over 240 million people, it’s the fifth most populous country."
"910","Pakistan","10","It is located in South Asia, bordered by India, China, Afghanistan, and Iran."
"911","Palestine","1","One of its cities, inhabited since 9000 BCE, is among the world’s oldest."
"912","Palestine","2","Women create intricate, region-specific designs on clothing, a cherished tradition."
"913","Palestine","3","Olive trees, cultivated for millennia, symbolize peace and resilience."
"914","Palestine","4","Dishes like falafel, hummus, and tabbouleh are globally renowned."
"915","Palestine","5","It hosts a major Christian site believed to be the location of Jesus’ crucifixion."
"916","Palestine","6","Henna is used to decorate hands and feet during celebrations."
"917","Palestine","7","Three currencies are accepted: the Israeli shekel, Jordanian dinar, and Egyptian pound."
"918","Palestine","8","It enjoys mild winters and hot summers."
"919","Palestine","9","Over 5 million people live here, predominantly Arab."
"920","Palestine","10","It is located in the Middle East, bordered by Israel, Jordan, and Egypt."
"921","Philippines","1","It hosts the world’s longest underground river, a UNESCO World Heritage Site."
"922","Philippines","2","Nearly every household owns a karaoke machine, reflecting a love for singing."
"923","Philippines","3","It’s one of the most mineral-rich countries, with vast gold and copper deposits."
"924","Philippines","4","A geological formation of over 1,000 conical hills turns brown in the dry season."
"925","Philippines","5","Colorful, decorated buses called jeepneys are a popular mode of transport."
"926","Philippines","6","It’s known for exporting mangoes, pineapples, and durians."
"927","Philippines","7","It comprises over 7,641 islands, the second-largest archipelago globally."
"928","Philippines","8","About 86% of its population is Roman Catholic, unique in Asia."
"929","Philippines","9","With over 117 million people, it’s the 13th most populous country."
"930","Philippines","10","It is located in Southeast Asia, bordered by the Pacific Ocean and South China Sea."
"931","Qatar","1","It has the world’s highest GDP per capita, driven by natural gas reserves."
"932","Qatar","2","Its flag features a maroon and white serrated design, symbolizing historical treaties."
"933","Qatar","3","Men outnumber women three to one due to male migrant workers."
"934","Qatar","4","Its national airline has been voted the world’s best multiple times."
"935","Qatar","5","A dedicated market exists for buying and selling falcons, a cultural tradition."
"936","Qatar","6","A state-of-the-art metro system was built for a major global sports event in 2022."
"937","Qatar","7","Over 180 nationalities live here, making it highly diverse."
"938","Qatar","8","Pearl diving was a major industry before oil and gas discoveries."
"939","Qatar","9","It has over 2.5 million people, mostly expatriates."
"940","Qatar","10","It is located in the Middle East, on the Persian Gulf, bordered by Saudi Arabia."
"941","Russia","1","A famous museum employs cats to protect its art from rodents, a tradition since the 18th century."
"942","Russia","2","It has the world’s longest single railway line, stretching across thousands of miles."
"943","Russia","3","It hosts the world’s deepest and oldest freshwater lake, holding 20% of global unfrozen freshwater."
"944","Russia","4","It’s known for wooden dolls that open to reveal smaller dolls inside."
"945","Russia","5","Its authors, known for epic novels, are celebrated worldwide."
"946","Russia","6","It has a renowned ballet tradition with globally famous dancers."
"947","Russia","7","Three-quarters of its land is covered by sprawling pine forests called taigas."
"948","Russia","8","It spans 11 time zones, more than any other country."
"949","Russia","9","With over 144 million people, it’s the ninth most populous country."
"950","Russia","10","It is located in both Europe and Asia, bordering multiple countries."
"951","Dominican Republic","1","It hosts the oldest European-built cathedral in the Americas, constructed in the 16th century."
"952","Dominican Republic","2","It is the birthplace of a lively dance and music genre called merengue, popular across Latin America."
"953","Dominican Republic","3","It gained independence from another Caribbean nation in 1844 after a secret society led the revolt."
"954","Dominican Republic","4","It shares an island with another country, occupying the eastern two-thirds."
"955","Dominican Republic","5","It is a major producer of cocoa, contributing significantly to global supply."
"956","Dominican Republic","6","It boasts the highest peak in the Caribbean, part of a prominent mountain range."
"957","Dominican Republic","7","With over 10 million people, it’s one of the more populous Caribbean nations."
"958","Dominican Republic","8","It’s a top tourist destination, famous for its white-sand beaches and resorts."
"959","Dominican Republic","9","Spanish is the official language, with English widely spoken in tourist areas."
"960","Dominican Republic","10","It’s located in the Caribbean, bordered by the Atlantic Ocean and the Caribbean Sea."
"961","Ecuador","1","It was the first country to grant constitutional rights to nature, protecting ecosystems legally."
"962","Ecuador","2","It’s known for a traditional hat, misnamed after another country, handwoven from cane-like leaves."
"963","Ecuador","3","It was part of a vast pre-Columbian empire before Spanish conquest in the 16th century."
"964","Ecuador","4","It’s one of only two South American countries not bordering Brazil."
"965","Ecuador","5","It has the highest biodiversity per square kilometer globally, with thousands of plant species."
"966","Ecuador","6","It’s home to a volcanic archipelago famous for inspiring a theory of evolution."
"967","Ecuador","7","With over 17 million people, it’s a mid-sized South American nation."
"968","Ecuador","8","It’s a hotspot for ecotourism, featuring the Amazon rainforest and Andean peaks."
"969","Ecuador","9","Spanish is the official language, alongside indigenous languages like Quechua."
"970","Ecuador","10","It’s located in northwestern South America, bordered by Colombia, Peru, and the Pacific Ocean."
"971","El Salvador","1","It was the first country to adopt Bitcoin as legal tender in 2021."
"972","El Salvador","2","It’s known for a stuffed corn tortilla dish, a staple of its cuisine."
"973","El Salvador","3","It fought a brief war in 1969, sparked by tensions over a soccer match."
"974","El Salvador","4","It’s the most densely populated country in the Americas, despite its small size."
"975","El Salvador","5","It’s home to a colorful bird, the turquoise-browed motmot, symbolizing liberty."
"976","El Salvador","6","With over 6 million people, it’s one of the smaller Central American nations."
"977","El Salvador","7","It’s a surfing paradise, with some of the best waves in the region."
"978","El Salvador","8","Spanish is the official language, with some indigenous languages still spoken."
"979","El Salvador","9","Its economy relies heavily on remittances and coffee exports."
"980","El Salvador","10","It’s located in Central America, bordered by Guatemala, Honduras, and the Pacific Ocean."
"981","Grenada","1","It hosts the world’s first underwater sculpture park, a unique marine attraction."
"982","Grenada","2","It’s known for a vibrant carnival called Spicemas, celebrating its spice heritage."
"983","Grenada","3","It was briefly occupied by U.S. forces in 1983 following a political coup."
"984","Grenada","4","It consists of three main islands, with the largest named after a Spanish city."
"985","Grenada","5","It’s a major producer of nutmeg, earning the nickname “Spice Isle.”"
"986","Grenada","6","With over 100,000 people, it’s one of the smallest Caribbean nations."
"987","Grenada","7","It’s famous for its pristine beaches, like Grand Anse."
"988","Grenada","8","English is the official language, with French patois also spoken."
"989","Grenada","9","Its economy thrives on tourism and spice exports."
"990","Grenada","10","It’s located in the southeastern Caribbean, near Trinidad and Tobago."
"991","Guatemala","1","It’s home to an ancient Mayan city, a UNESCO site inhabited for 16 centuries."
"992","Guatemala","2","It venerates a unique saint who enjoys liquor and cigars in local rituals."
"993","Guatemala","3","It endured the longest civil war in Latin American history, lasting 36 years."
"994","Guatemala","4","It features a stunning lake formed in a volcanic caldera, one of the deepest in the region."
"995","Guatemala","5","It’s part of the world’s second-largest coral reef system."
"996","Guatemala","6","With over 17 million people, it’s the most populous Central American nation."
"997","Guatemala","7","It’s renowned for its Mayan ruins, like Tikal, attracting global visitors."
"998","Guatemala","8","Spanish is the official language, alongside 21 Mayan languages."
"999","Guatemala","9","Its economy relies heavily on coffee and banana exports."
"1000","Guatemala","10","It’s located in Central America, bordered by Mexico, Belize, Honduras, and El Salvador."
"1001","Guyana","1","It was the site of a tragic 1978 mass event involving a cult, claiming over 900 lives."
"1002","Guyana","2","Its national dish, pepperpot, is a spicy stew preserved with a unique ingredient."
"1003","Guyana","3","It gained independence from Britain in 1966, becoming a republic in 1970."
"1004","Guyana","4","It hosts the world’s largest single-drop waterfall by volume, Kaieteur Falls."
"1005","Guyana","5","Over 80% of its land is covered by pristine rainforest, rich in unique species."
"1006","Guyana","6","With around 800,000 people, it’s one of South America’s least populous nations."
"1007","Guyana","7","It’s a haven for ecotourism, with sites like the Iwokrama Rainforest."
"1008","Guyana","8","English is the official language, unique for the region."
"1009","Guyana","9","Its economy is booming due to recent oil discoveries."
"1010","Guyana","10","It’s located in northern South America, bordered by Venezuela, Brazil, and Suriname."
"1011","Haiti","1","It was the first nation in the Americas to permanently abolish slavery in 1804."
"1012","Haiti","2","It’s the birthplace of a religion blending African and Catholic traditions."
"1013","Haiti","3","It became the first independent black-led republic in the world."
"1014","Haiti","4","It shares an island with another Caribbean nation, occupying the western third."
"1015","Haiti","5","It’s home to the largest fortress in the Americas, a UNESCO site."
"1016","Haiti","6","With over 11 million people, it’s one of the more populous Caribbean nations."
"1017","Haiti","7","It’s known for its vibrant art and music scenes, despite economic challenges."
"1018","Haiti","8","French and Creole are the official languages."
"1019","Haiti","9","Its economy relies heavily on agriculture, especially coffee."
"1020","Haiti","10","It’s located in the Caribbean, west of the Dominican Republic."
"1021","Honduras","1","It was nicknamed “Banana Republic” due to its historical reliance on fruit exports."
"1022","Honduras","2","There’s a place where fish fall from the sky, a rare natural phenomenon that happens multiple times a year after heavy rainstorms."
"1023","Honduras","3","It fought a brief war in 1969, triggered by a soccer match dispute."
"1024","Honduras","4","It’s part of the world’s second-largest coral reef system."
"1025","Honduras","5","It’s home to over 100 species of bats, including a tiny white bat that lives in leaf tents."
"1026","Honduras","6","With over 9 million people, it’s a mid-sized Central American nation."
"1027","Honduras","7","It’s a top destination for divers, especially around its Bay Islands."
"1028","Honduras","8","Spanish is the official language, with some English spoken on the coast."
"1029","Honduras","9","Its economy depends on coffee and banana exports."
"1030","Honduras","10","It’s located in Central America, bordered by Guatemala, El Salvador, and Nicaragua."
"1031","Jamaica","1","It holds a record for the most churches per square mile globally."
"1032","Jamaica","2","It’s the birthplace of a music genre that’s a global symbol of empowerment."
"1033","Jamaica","3","It built one of the Western world’s first railways in 1845, predating the U.S."
"1034","Jamaica","4","It’s the third-largest island in the Caribbean, after Cuba and Hispaniola."
"1035","Jamaica","5","It’s home to one of the world’s largest butterflies, the endangered Homerus swallowtail."
"1036","Jamaica","6","With over 2.8 million people, it’s a populous Caribbean nation."
"1037","Jamaica","7","It’s famous for its beaches, like those in Negril and Montego Bay."
"1038","Jamaica","8","English is the official language, with Patois widely spoken."
"1039","Jamaica","9","Its economy thrives on tourism and coffee exports."
"1040","Jamaica","10","It’s located in the Caribbean, south of Cuba."
"1041","United States of America","1","One small town is home to more space-related debris than any other location on Earth, including recovered parts of satellites and rockets."
"1042","United States of America","2","It consumes about 100 acres of pizza daily, reflecting its love for fast food."
"1043","United States of America","3","It was the first nation to land humans on the moon in 1969."
"1044","United States of America","4","It spans 11 time zones, more than any other country."
"1045","United States of America","5","It’s home to the world’s first national park, established in 1872."
"1046","United States of America","6","With over 330 million people, it’s the third most populous nation globally."
"1047","United States of America","7","It’s famous for landmarks like the Statue of Liberty and Grand Canyon."
"1048","United States of America","8","English is the primary language, with Spanish widely spoken."
"1049","United States of America","9","Its economy is the world’s largest, driven by technology and finance."
"1050","United States of America","10","It’s located in North America, bordered by Canada and Mexico."
"1051","Congo","1","Its national emblem features a leopard head, symbolizing strength and courage."
"1052","Congo","2","The capital is renowned for originating a lively music genre called soukous, popular across Africa."
"1053","Congo","3","During World War II, its capital served as the de facto capital of Free France from 1940 to 1942."
"1054","Congo","4","A railway built by forced laborers in the 1930s connects the capital to the Atlantic coast."
"1055","Congo","5","Oil accounts for about 80% of its export revenue, making it a key economic driver."
"1056","Congo","6","It has faced multiple civil wars, impacting its development since independence."
"1057","Congo","7","It is one of Africa’s least densely populated countries, with only about 14.8 people per square kilometer."
"1058","Congo","8","It hosts part of one of the world’s largest tropical rainforests, teeming with biodiversity."
"1059","Congo","9","The capital features restored colonial-era buildings, including a notable basilica completed in 2011."
"1060","Congo","10","It is located in Central Africa, bordered by Gabon, Cameroon, Central African Republic, Democratic Republic of the Congo, and Angola."
"1061","Democratic Republic of Congo","1","It is home to the world’s largest population of bonobos, a unique great ape species."
"1062","Democratic Republic of Congo","2","Over 200 ethnic groups contribute to its rich cultural tapestry, each with distinct languages."
"1063","Democratic Republic of Congo","3","It experienced a major conflict known as the Congo Crisis shortly after gaining independence in 1960."
"1064","Democratic Republic of Congo","4","It is the second-largest country in Africa by land area, surpassed only by Algeria."
"1065","Democratic Republic of Congo","5","It is a global leader in cobalt production, essential for electric vehicle batteries."
"1066","Democratic Republic of Congo","6","It endured two major wars in the late 1990s and early 2000s, involving multiple neighboring countries."
"1067","Democratic Republic of Congo","7","With over 100 million people, it has one of the highest population growth rates globally."
"1068","Democratic Republic of Congo","8","It contains the world’s second-largest tropical rainforest, a critical biodiversity hotspot."
"1069","Democratic Republic of Congo","9","Its capital hosts one of Africa’s largest stadiums, named after national heroes."
"1070","Democratic Republic of Congo","10","It is located in Central Africa, bordered by nine countries."
"1071","Djibouti","1","It is home to a crater lake that is one of the saltiest bodies of water globally and the lowest point in Africa."
"1072","Djibouti","2","Its population is primarily composed of two ethnic groups, each with distinct Cushitic languages."
"1073","Djibouti","3","It was a French colony until achieving independence in 1977."
"1074","Djibouti","4","Its economy thrives on a major port, one of East Africa’s busiest, vital for regional trade."
"1075","Djibouti","5","It hosts military bases from multiple global powers due to its strategic location."
"1076","Djibouti","6","It has been governed by the same president since 1999."
"1077","Djibouti","7","With about 1 million people, it is one of Africa’s least populous countries."
"1078","Djibouti","8","Its landscape includes one of the hottest deserts on Earth."
"1079","Djibouti","9","The capital’s vibrant market is famous for its colorful textiles and spicy cuisine."
"1080","Djibouti","10","It is located in the Horn of Africa, bordered by Eritrea, Ethiopia, and Somalia."
"1081","Equatorial Guinea","1","It is the only African country with Spanish as an official language."
"1082","Equatorial Guinea","2","Over 20 ethnic groups, including the Fang and Bubi, enrich its cultural landscape."
"1083","Equatorial Guinea","3","It gained independence from Spain in 1968."
"1084","Equatorial Guinea","4","It comprises a mainland region and several islands, including one hosting the capital."
"1085","Equatorial Guinea","5","It is one of Africa’s wealthiest nations per capita due to oil, though poverty persists."
"1086","Equatorial Guinea","6","The same president has governed since 1979, one of the world’s longest-serving leaders."
"1087","Equatorial Guinea","7","It has a population of about 1.4 million, among Africa’s smallest."
"1088","Equatorial Guinea","8","Its lush rainforests and beaches attract eco-tourists."
"1089","Equatorial Guinea","9","The capital blends colonial-era structures with modern skyscrapers."
"1090","Equatorial Guinea","10","It is located on the Gulf of Guinea, bordered by Cameroon and Gabon."
"1091","Eritrea","1","It is home to a million-year-old human skeleton, one of the oldest ever discovered."
"1092","Eritrea","2","Nine ethnic groups, each with distinct languages, shape its cultural diversity."
"1093","Eritrea","3","It was an Italian colony from the late 19th century until World War II."
"1094","Eritrea","4","Its Red Sea coastline includes numerous islands and coral reefs."
"1095","Eritrea","5","It is one of the world’s poorest nations, with a GDP per capita under $1,000."
"1096","Eritrea","6","The same president has ruled since independence in 1993."
"1097","Eritrea","7","It has about 3.5 million people, one of Africa’s smaller populations."
"1098","Eritrea","8","Its landscape ranges from mountains to coastal deserts."
"1099","Eritrea","9","The capital is a UNESCO World Heritage Site."
"1100","Eritrea","10","It is located in the Horn of Africa, bordered by Ethiopia, Djibouti, and Sudan."
"1101","Eswatini","1","It is Africa’s last absolute monarchy, with the king holding supreme power since 1986."
"1102","Eswatini","2","It is known for a unique festival where tens of thousands of unmarried women dance for the queen mother."
"1103","Eswatini","3","It was a British protectorate until gaining independence in 1968, though its name was changed later."
"1104","Eswatini","4","It is a major producer of sugar, which is a key part of its economy."
"1105","Eswatini","5","It is home to the world’s largest granite monolith, an ancient and revered geological formation."
"1106","Eswatini","6","With a population of about 1.2 million, it is one of the smallest countries in Africa."
"1107","Eswatini","7","Its culture is a blend of traditional monarchy and modern influences."
"1108","Eswatini","8","English is the official language, alongside Siswati."
"1109","Eswatini","9","Its economy relies on agriculture, textiles, and forestry."
"1110","Eswatini","10","It is a landlocked country in Southern Africa, bordered by South Africa and Mozambique."
"1111","Ethiopia","1","It is the only African country that was never colonized, maintaining its independence throughout history."
"1112","Ethiopia","2","It follows its own ancient calendar, which is 7 to 8 years behind the Gregorian calendar."
"1113","Ethiopia","3","Its coffee ceremony, with its fragrant incense and elaborate steps, is a cherished cultural tradition."
"1114","Ethiopia","4","It is the birthplace of coffee, which was discovered when a goat herder noticed his goats became energetic after eating the beans."
"1115","Ethiopia","5","It hosts the largest and most well-preserved group of rock-hewn churches in the world, a UNESCO World Heritage Site."
"1116","Ethiopia","6","With a population of over 120 million people, it is the second-most populous country in Africa."
"1117","Ethiopia","7","Its capital is the highest capital city in Africa, located over 2,300 meters above sea level."
"1118","Ethiopia","8","Its economy is one of Africa’s fastest-growing, driven by services and agriculture."
"1119","Ethiopia","9","It hosts the remains of one of the world’s oldest human ancestors, Lucy."
"1120","Ethiopia","10","It is located in the Horn of Africa, bordered by Eritrea, Djibouti, Somalia, Kenya, South Sudan, and Sudan."
"1121","Gabon","1","It is home to one of the largest national parks, containing over 800 gorillas and a diverse range of wildlife."
