"id","country","fact_number","fact"
"1787","Senegal","7","It is recognized as one of Africa's most stable democracies, with a record of peaceful power transitions."
"1788","Senegal","8","Agriculture, particularly the cultivation of peanuts, forms a major part of its economy."
"1789","Senegal","9","While French is the official language, a local language is spoken by the majority of the population."
"1790","Senegal","10","It almost completely surrounds another country, making for a unique geopolitical situation."
"1791","Seychelles","1","There is a country that is the smallest in Africa by population and one of the smallest by land area."
"1792","Seychelles","2","This nation consists of 115 islands, split into two distinct groups: one granitic and the other coralline."
"1793","Seychelles","3","It is home to the coco de mer, the plant with the largest seed in the world."
"1794","Seychelles","4","Despite its small size, it boasts the highest GDP per capita in Africa."
"1795","Seychelles","5","Known for its luxury tourism, it features some of the world's most beautiful beaches and high-end resorts."
"1796","Seychelles","6","Historically, it served as a hideout for pirates, with tales of buried treasure still circulating."
"1797","Seychelles","7","Education is highly valued here, with a literacy rate that is among the highest in Africa."
"1798","Seychelles","8","While English and French are official languages, a local Creole is the most commonly spoken."
"1799","Seychelles","9","It operates as a republic with a multi-party political system."
"1800","Seychelles","10","Located in the Indian Ocean, it lies east of the African mainland."
"1801","Sierra Leone","1","There is a country named after mountains that resemble lions, as described by a 15th-century Portuguese explorer."
"1802","Sierra Leone","2","This nation was once a major hub for the trans-Atlantic slave trade, with a dark history of human trafficking."
"1803","Sierra Leone","3","Its capital was established as a haven for freed slaves, reflecting its name which means 'free town.'"
"1804","Sierra Leone","4","It is renowned for its diamond mines, though these have been associated with conflict and unethical practices."
"1805","Sierra Leone","5","The population is ethnically diverse, with two main groups making up the majority."
"1806","Sierra Leone","6","It experiences a tropical climate with pronounced wet and dry seasons, influencing its agriculture."
"1807","Sierra Leone","7","Known for its stunning natural beauty, it boasts beautiful beaches and dense rainforests."
"1808","Sierra Leone","8","Despite challenges, it has achieved a relatively high literacy rate compared to other sub-Saharan African countries."
"1809","Sierra Leone","9","While English is the official language, a local Creole language is the most commonly spoken."
"1810","Sierra Leone","10","It shares borders with two other West African countries, one to the north and east, and another to the southeast."
"1811","Somalia","1","There is a country with the longest coastline in Africa, over 3,000 kilometers long."
"1812","Somalia","2","This nation is one of the most ethnically homogeneous in Africa, with a majority ethnic group making up about 85% of the population."
"1813","Somalia","3","Archaeological findings suggest that humans have inhabited this region since prehistoric times."
"1814","Somalia","4","It has experienced significant political instability and civil conflict since the early 1990s, leading to a lack of centralized governance."
"1815","Somalia","5","The predominant religion here is Islam, which is also the state religion."
"1816","Somalia","6","Its official language is spoken by the majority, but Arabic is also widely used."
"1817","Somalia","7","Historically, many of its people have been nomadic pastoralists, relying on livestock herding."
"1818","Somalia","8","Despite challenges, it boasts a beautiful coastline rich in marine resources, with fishing being a key economic activity."
"1819","Somalia","9","It is home to diverse wildlife, including some rare and endangered species."
"1820","Somalia","10","Its capital is one of the oldest continuously inhabited cities in the region, with a history dating back centuries."
"1821","South Africa","1","There is a country with 11 official languages, showcasing its multicultural society."
"1822","South Africa","2","It is the only nation globally to have three capital cities, each serving a different governmental function."
"1823","South Africa","3","This country is home to the largest land mammal on Earth, the African elephant."
"1824","South Africa","4","It boasts the world's longest wine route, stretching over 850 kilometers."
"1825","South Africa","5","It is the leading producer of platinum and a major source of gold and diamonds."
"1826","South Africa","6","With a coastline exceeding 2,500 kilometers, it offers stunning beaches and diverse marine ecosystems."
"1827","South Africa","7","Known for its wildlife, it is where tourists can see the 'Big Five' game animals in their natural habitat."
"1828","South Africa","8","It played a pivotal role in the fight against racial segregation, with a leader who spent 27 years in prison before becoming president."
"1829","South Africa","9","In this country, the first successful human heart transplant was performed in 1967."
"1830","South Africa","10","It is a top tourist destination, featuring iconic landmarks like a flat-topped mountain, a vast national park, and a historic island prison."
"1831","South Sudan","1","There is a country that became independent in 2011, making it the world's newest nation."
"1832","South Sudan","2","This landlocked nation borders six countries, including Sudan, Ethiopia, and Kenya."
"1833","South Sudan","3","With a population of around 12 million, most of its people live in rural areas."
"1834","South Sudan","4","It is rich in oil, which is a crucial part of its economy."
"1835","South Sudan","5","The country is ethnically diverse, with over 60 ethnic groups, the largest being the Dinka and Nuer."
"1836","South Sudan","6","English is the official language, though Arabic is also commonly spoken."
"1837","South Sudan","7","Christianity is the dominant religion, with Islam also practiced by a significant portion of the population."
"1838","South Sudan","8","Since gaining independence, it has faced numerous challenges, including civil conflict and humanitarian issues."
"1839","South Sudan","9","It is home to the Sudd, one of the largest freshwater wetlands in the world."
"1840","South Sudan","10","Its capital is situated on the White Nile River, serving as a central hub for the nation."
"1841","Sudan","1","There is a country that is the third-largest in Africa by land area."
"1842","Sudan","2","This nation boasts more pyramids than Egypt, with over 200 ancient structures."
"1843","Sudan","3","It is crossed by the world's longest river, which flows from its southern to northern borders."
"1844","Sudan","4","Ancient civilizations flourished here, including the Kingdom of Kush, which rivaled Egypt."
"1845","Sudan","5","The predominant religion in this country is Islam, which is also the state religion."
"1846","Sudan","6","Arabic serves as the official language, though English is also commonly used."
"1847","Sudan","7","It is ethnically diverse, with more than 500 different ethnic groups."
"1848","Sudan","8","Traditional music and dance, such as the 'dabke,' are integral parts of its culture."
"1849","Sudan","9","It has substantial oil reserves, playing a crucial role in its economy."
"1850","Sudan","10","The country has experienced significant internal conflicts, including civil wars and regional strife."
"1851","Tanzania","1","There is a country that is the largest in East Africa by land area."
"1852","Tanzania","2","It is home to Mount Kilimanjaro, the highest peak in Africa."
"1853","Tanzania","3","The Serengeti National Park, famous for its annual wildebeest migration, is located here."
"1854","Tanzania","4","Zanzibar, an island off the coast, is known for its spice trade and historical Stone Town."
"1855","Tanzania","5","This country has over 120 ethnic groups, with Swahili being the most widely spoken language."
"1856","Tanzania","6","The country gained independence from British rule in 1961."
"1857","Tanzania","7","Lake Victoria, the largest lake in Africa, borders Tanzania."
"1858","Tanzania","8","This country is a major producer of coffee, cotton, and cashew nuts."
"1859","Tanzania","9","The Ngorongoro Crater, a UNESCO World Heritage Site, is a haven for wildlife."
"1860","Tanzania","10","Its capital is Dodoma, but Dar es Salaam is the largest city and economic hub."
"1861","Togo","1","It is a small West African country bordered by Ghana, Benin, and Burkina Faso."
"1862","Togo","2","It gained independence from France in 1960."
"1863","Togo","3","The official language is French, but several indigenous languages are also spoken."
"1864","Togo","4","It has a tropical climate with distinct wet and dry seasons."
"1865","Togo","5","The country is known for its phosphate mining, which is a major export."
"1866","Togo","6","Lomé, the capital, is a vibrant city with a mix of modern and traditional architecture."
"1867","Togo","7","It has a rich cultural heritage, with traditional music and dance being integral to its identity."
"1868","Togo","8","The country has faced political instability, including military coups and contested elections."
"1869","Togo","9","It is home to diverse ethnic groups, including the Ewe, Mina, and Kabye."
"1870","Togo","10","The currency is the West African CFA franc."
"1871","Tunisia","1","It is the northernmost country in Africa, located on the Mediterranean coast."
"1872","Tunisia","2","It is known for its ancient ruins, including the city of Carthage."
"1873","Tunisia","3","It gained independence from France in 1956."
"1874","Tunisia","4","The official language is Arabic, but French is also widely spoken."
"1875","Tunisia","5","The country has a Mediterranean climate with hot, dry summers and mild, wet winters."
"1876","Tunisia","6","It is a major producer of olive oil and dates."
"1877","Tunisia","7","The capital, Tunis, is a bustling city with a mix of historic and modern attractions."
"1878","Tunisia","8","It has a rich cultural heritage, influenced by Berber, Arab, and European civilizations."
"1879","Tunisia","9","The country has experienced political changes, including the Arab Spring in 2011."
"1880","Tunisia","10","It is a popular tourist destination, known for its beaches and historical sites."
"1881","Uganda","1","It is a landlocked country in East Africa, bordered by Kenya, Tanzania, Rwanda, and South Sudan."
"1882","Uganda","2","It gained independence from Britain in 1962."
"1883","Uganda","3","The official languages are English and Swahili, but Luganda is also widely spoken."
"1884","Uganda","4","It has a tropical climate with two rainy seasons."
"1885","Uganda","5","The country is known for its diverse wildlife, including mountain gorillas and chimpanzees."
"1886","Uganda","6","Kampala, the capital, is a vibrant city with a mix of modern and traditional elements."
"1887","Uganda","7","It has a rich cultural heritage, with over 50 ethnic groups."
"1888","Uganda","8","The country has faced political challenges, including civil wars and authoritarian rule."
"1889","Uganda","9","It is a major producer of coffee and tea."
"1890","Uganda","10","The currency is the Ugandan shilling."
"1891","Zambia","1","It is a landlocked country in southern Africa, bordered by eight countries."
"1892","Zambia","2","It gained independence from Britain in 1964."
"1893","Zambia","3","The official language is English, but over 70 indigenous languages are spoken."
"1894","Zambia","4","It has a tropical climate with distinct wet and dry seasons."
"1895","Zambia","5","The country is known for its copper mining, which is a major export."
"1896","Zambia","6","Lusaka, the capital, is a growing city with a mix of modern and traditional architecture."
"1897","Zambia","7","It has a rich cultural heritage, with traditional music and dance being integral to its identity."
"1898","Zambia","8","The country has faced economic challenges, including high inflation and unemployment."
"1899","Zambia","9","It is home to diverse wildlife, including elephants, lions, and rhinos."
"1900","Zambia","10","The currency is the Zambian kwacha."
"1901","Zimbabwe","1","It is a landlocked country in southern Africa, bordered by South Africa, Botswana, Zambia, and Mozambique."
"1902","Zimbabwe","2","It gained independence from Britain in 1980."
"1903","Zimbabwe","3","The official languages are English, Shona, and Ndebele."
"1904","Zimbabwe","4","It has a subtropical climate with distinct wet and dry seasons."
"1905","Zimbabwe","5","The country is known for its gold mining and agricultural production."
"1906","Zimbabwe","6","Harare, the capital, is a modern city with a mix of colonial and contemporary architecture."
"1907","Zimbabwe","7","It has a rich cultural heritage, with traditional crafts and music being prominent."
"1908","Zimbabwe","8","The country has faced political and economic challenges, including hyperinflation and land reforms."
"1909","Zimbabwe","9","It is home to diverse wildlife, including the 'Big Five' game animals."
"1910","Zimbabwe","10","The currency is the Zimbabwean dollar, though foreign currencies are also widely used."
"1911","Taiwan","1","It’s an island with dense mountains that cover over two-thirds of the land."
"1912","Taiwan","2","Night markets play a huge role in everyday culture, offering both food and entertainment."
"1913","Taiwan","3","Bubble tea, a drink with chewy pearls, originated here and is now a global trend."
"1914","Taiwan","4","Motor scooters outnumber cars by a large margin, and cities are filled with scooter traffic."
"1915","Taiwan","5","It experiences frequent earthquakes due to its location near two tectonic plates."
"1916","Taiwan","6","Its film industry has won international awards, with several acclaimed directors."
"1917","Taiwan","7","It was once under Japanese rule for 50 years, which heavily influenced its architecture and cuisine."
"1918","Taiwan","8","It has its own government, military, and elections, but is recognized by only a few countries."
"1919","Taiwan","9","The island is a tech powerhouse—home to one of the largest semiconductor companies in the world."
"1920","Taiwan","10","It lies off the southeastern coast of China and is often at the center of geopolitical discussions."
"1921","Hong Kong","1","This region features the world's longest outdoor escalator system, stretching over 800 meters."
"1922","Hong Kong","2","It holds the title for the world's most expensive real estate market, driven by limited space and high demand."
"1923","Hong Kong","3","The official languages are Cantonese and English, reflecting its colonial past."
"1924","Hong Kong","4","It has a subtropical climate with hot, humid summers and mild winters."
"1925","Hong Kong","5","The region is a major financial center, with its stock exchange ranking among the top five worldwide."
"1926","Hong Kong","6","Victoria Harbour is one of the busiest ports globally, central to its trade and identity."
"1927","Hong Kong","7","Its culture blends Chinese traditions with British influences from its colonial history."
"1928","Hong Kong","8","It has experienced political tensions with mainland China, especially over democratic reforms."
"1929","Hong Kong","9","The region is a hub for Cantonese-language films and music production."
"1930","Hong Kong","10","It has the most skyscrapers in the world"
"1931","Macau","1","This region surpasses Las Vegas with the world's highest gambling revenue."
"1932","Macau","2","It hosts the world's largest casino, featuring over 500 gaming tables."
"1933","Macau","3","The official languages are Cantonese and Portuguese, a legacy of its colonial era."
"1934","Macau","4","It has a subtropical climate with hot, humid summers and mild winters."
"1935","Macau","5","The region attracts over 30 million visitors annually, drawn by its unique offerings."
"1936","Macau","6","Its historic center is a UNESCO World Heritage Site, showcasing its Portuguese colonial architecture."
"1937","Macau","7","Its heritage combines Chinese and Portuguese influences, evident in its food and architecture."
"1938","Macau","8","The economy heavily relies on gambling, posing challenges during downturns."
"1939","Macau","9","It is known for producing fireworks and textiles, niche but notable industries."
"1940","Macau","10","It is the most densely populated region in the world."
