"id","country","fact_number","fact"
1427,"Saint Kitts and Nevis","7","It has significant agricultural production, particularly sugarcane."
1428,"Saint Kitts and Nevis","8","The country gained independence from Britain in 1983."
1429,"Saint Kitts and Nevis","9","The currency is shared with other Caribbean nations."
1430,"Saint Kitts and Nevis","10","It has significant marine life, with opportunities for snorkeling and diving."
1431,"Saint Lucia","1","There is a country with two famous volcanic peaks, which are UNESCO World Heritage Sites."
1432,"Saint Lucia","2","This nation has significant natural beauty, with beaches popular for snorkeling."
1433,"Saint Lucia","3","It has significant cultural festivals, including a carnival."
1434,"Saint Lucia","4","The capital city is known for its duty-free shopping and colonial architecture."
1435,"Saint Lucia","5","It has significant agricultural production, particularly bananas."
1436,"Saint Lucia","6","The country has significant marine life, with opportunities for whale watching."
1437,"Saint Lucia","7","It gained independence from Britain in 1979."
1438,"Saint Lucia","8","The currency is shared with other Caribbean nations."
1439,"Saint Lucia","9","It has significant historical sites, including a national park with ruins."
1440,"Saint Lucia","10","The country has significant luxury resorts, making it a popular destination for honeymooners."
1441,"Saint Vincent and the Grenadines","1","There is a country with an active volcano that erupted in 2021."
1442,"Saint Vincent and the Grenadines","2","This nation has significant marine life, with opportunities for snorkeling."
1443,"Saint Vincent and the Grenadines","3","It has significant cultural festivals, including a carnival."
1444,"Saint Vincent and the Grenadines","4","The capital city is known for its botanical gardens and colonial architecture."
1445,"Saint Vincent and the Grenadines","5","It has significant agricultural production, particularly bananas."
1446,"Saint Vincent and the Grenadines","6","The country has significant historical sites, including a fort with panoramic views."
1447,"Saint Vincent and the Grenadines","7","It gained independence from Britain in 1979."
1448,"Saint Vincent and the Grenadines","8","The currency is shared with other Caribbean nations."
1449,"Saint Vincent and the Grenadines","9","It has significant luxury resorts on islands popular among celebrities."
1450,"Saint Vincent and the Grenadines","10","The country has significant biodiversity, with many endemic bird species."
1451,"Suriname","1","There is a country where Dutch is an official language, making it unique in South America."
1452,"Suriname","2","This nation has significant natural resources, particularly bauxite."
1453,"Suriname","3","It has significant rainforest cover, with over 90% of its territory covered by forests."
1454,"Suriname","4","The capital city is known for its well-preserved colonial architecture, a UNESCO World Heritage Site."
1455,"Suriname","5","It has significant cultural diversity, with populations of various descents."
1456,"Suriname","6","The country has significant wildlife, including jaguars and sloths."
1457,"Suriname","7","It gained independence from the Netherlands in 1975."
1458,"Suriname","8","The currency is named after the country."
1459,"Suriname","9","It has significant ecotourism opportunities, with popular national parks."
1460,"Suriname","10","The country has significant historical sites, including a fort built by the Dutch."
1461,"Trinidad and Tobago","1","There is a country with two islands, one known for its beaches and diving spots."
1462,"Trinidad and Tobago","2","This nation has significant oil reserves, with oil being a major part of its economy."
1463,"Trinidad and Tobago","3","It has significant cultural festivals, including a carnival with elaborate costumes."
1464,"Trinidad and Tobago","4","The capital city is known for its skyline of skyscrapers alongside colonial buildings."
1465,"Trinidad and Tobago","5","It has significant biodiversity, with many endemic bird species."
1466,"Trinidad and Tobago","6","The country has significant historical sites, including a fort with panoramic views."
1467,"Trinidad and Tobago","7","It gained independence from Britain in 1962."
1468,"Trinidad and Tobago","8","The currency is named after the country."
1469,"Trinidad and Tobago","9","It has significant music culture, being known for steelpan and calypso music."
1470,"Trinidad and Tobago","10","The country has significant natural attractions, popular for birdwatching."
1471,"Uruguay","1","There is a country known as 'the Switzerland of South America' for its political stability and high standard of living."
1472,"Uruguay","2","This nation has significant beef production, with cattle ranching being a major part of its economy."
1473,"Uruguay","3","It has significant wine production, particularly in certain regions."
1474,"Uruguay","4","The capital city is known for its colonial architecture."
1475,"Uruguay","5","It has significant cultural festivals, including a carnival."
1476,"Uruguay","6","The country has significant soccer culture, with popular teams."
1477,"Uruguay","7","It gained independence from Brazil in 1828."
1478,"Uruguay","8","The currency is named after the country."
1479,"Uruguay","9","It has significant beach resorts, popular among tourists."
1480,"Uruguay","10","The country has significant historical sites, including a plaza with monuments."
1481,"Venezuela","1","There is a country with the world's highest waterfall."
1482,"Venezuela","2","This nation has significant oil reserves, once being a major oil producer."
1483,"Venezuela","3","It has significant biodiversity, including the Amazon rainforest."
1484,"Venezuela","4","The capital city is known for its modern architecture and cultural institutions."
1485,"Venezuela","5","It has significant cultural festivals, including a carnival."
1486,"Venezuela","6","The country has significant historical sites, including a colonial old town."
1487,"Venezuela","7","It gained independence from Spain in 1821."
1488,"Venezuela","8","The currency is named after a liberator."
1489,"Venezuela","9","It has significant natural attractions, including a national park with tepuis."
1490,"Venezuela","10","The country has significant political and economic challenges."
