"id","country","fact_number","fact"
"1649","Lesotho","9","The capital is a western economic hub."
"1650","Lesotho","10","The Maloti and Drakensberg mountain ranges offer breathtaking natural landscapes."
"1651","Liberia","1","It is the only Black state in Africa never subjected to colonial rule, making it the continent’s oldest republic."
"1652","Liberia","2","Founded in the early 19th century as a colony for freed American slaves, it has a unique historical origin."
"1653","Liberia","3","It borders Sierra Leone, Guinea, and Côte d’Ivoire with an Atlantic Ocean coastline."
"1654","Liberia","4","Its landscape features coastal plains, rolling hills, and a dissected plateau."
"1655","Liberia","5","Significant health challenges include a high HIV/AIDS prevalence and the Ebola outbreak."
"1656","Liberia","6","The capital, named after a U.S. president, is a major urban center."
"1657","Liberia","7","Traditional crafts and storytelling are vital to its cultural heritage."
"1658","Liberia","8","Civil wars and political instability have marked its recent history."
"1659","Liberia","9","It is a leading rubber producer, with international companies playing a key role."
"1660","Liberia","10","Americo-Liberians, descendants of freed slaves, have significantly influenced its governance."
"1661","Libya","1","It is the fourth-largest country in Africa and 17th-largest globally by land area."
"1662","Libya","2","Evidence of human habitation here dates back to 12,000 BC, with ancient rock art sites."
"1663","Libya","3","Never colonized by a Western power, it was under Ottoman rule until Italy invaded in 1911."
"1664","Libya","4","It gained independence in 1951 and was a monarchy until a 1969 military coup."
"1665","Libya","5","A leader ruled for over 40 years until a 2011 revolution overthrew and killed him."
"1666","Libya","6","It holds Africa’s largest proven oil reserves, a major economic driver."
"1667","Libya","7","About 90% of its land is covered by the Sahara Desert."
"1668","Libya","8","Its cultural heritage reflects its history as a crossroads of civilizations."
"1669","Libya","9","The capital, also the largest city, is a historic urban center."
"1670","Libya","10","It has a Mediterranean coastline and borders six countries."
"1671","Madagascar","1","It is the fourth-largest island globally, off Africa’s southeast coast."
"1672","Madagascar","2","Over 90% of its wildlife, including lemurs, is found nowhere else on Earth."
"1673","Madagascar","3","Human settlement began around 500 AD, one of the last major landmasses colonized."
"1674","Madagascar","4","It has 18 ethnic groups with African, Asian, and European cultural influences."
"1675","Madagascar","5","Lemurs, unique to this island, are a major tourist attraction."
"1676","Madagascar","6","Political instability, including coups, has marked its history."
"1677","Madagascar","7","It hosts the world’s largest and smallest chameleons."
"1678","Madagascar","8","A traditional wrestling sport called 'moraingy' is popular here."
"1679","Madagascar","9","It is among the world’s poorest nations, with many living below the poverty line."
"1680","Madagascar","10","Its 5,000-kilometer coastline is surrounded by the Indian Ocean."
"1681","Malawi","1","Nicknamed the 'Warm Heart of Africa,' it is renowned for its hospitality."
"1682","Malawi","2","A landlocked southeastern African nation, it borders Zambia, Mozambique, and Tanzania."
"1683","Malawi","3","Lake Malawi, Africa’s third-largest lake, covers about one-third of its area."
"1684","Malawi","4","It has 18 ethnic groups, each contributing to its cultural diversity."
"1685","Malawi","5","Independence from British rule was achieved in 1964, becoming a republic in 1966."
"1686","Malawi","6","Over 1,000 unique fish species inhabit its lake, many endemic."
"1687","Malawi","7","Political instability included a one-party state until 1994."
"1688","Malawi","8","It ranks among the world’s poorest countries, with significant poverty."
"1689","Malawi","9","The capital is Lilongwe, and Blantyre is the largest city."
"1690","Malawi","10","Two UNESCO World Heritage sites highlight its natural and cultural significance."
"1691","Mali","1","A medieval university here was a global center of Islamic scholarship."
"1692","Mali","2","It was once home to one of the world’s richest men, whose wealth caused inflation in Cairo."
"1693","Mali","3","The largest mud-brick building in the world, a mosque, stands here."
"1694","Mali","4","A vast empire here controlled the trans-Saharan gold and salt trade in the 14th century."
"1695","Mali","5","The Niger River forms an inland delta, creating a unique wetland ecosystem."
"1696","Mali","6","It gained independence from France in 1960."
"1697","Mali","7","Traditional griots preserve history through oral storytelling and music."
"1698","Mali","8","The Sahara Desert covers over half of its territory."
"1699","Mali","9","The capital is a bustling city on the Niger River."
"1700","Mali","10","It is known for its historical role in the Songhai and Mali Empires."
"1701","Mauritania","1","The ‘Eye of the Sahara,’ a 50-kilometer geological formation, is visible from space."
"1702","Mauritania","2","It was the last country globally to abolish slavery, doing so in 1981."
"1703","Mauritania","3","A UNESCO World Heritage site here is a major bird sanctuary."
"1704","Mauritania","4","The nation’s flag features green with a crescent, star, and red stripes symbolizing independence struggles."
"1705","Mauritania","5","It gained independence from France in 1960."
"1706","Mauritania","6","About 90% of its territory is desert, leading to frequent droughts."
"1707","Mauritania","7","The economy relies heavily on iron ore and fishing."
"1708","Mauritania","8","Arabic is the official language, with French also widely used."
"1709","Mauritania","9","The capital lies on the Atlantic coast."
"1710","Mauritania","10","It spans North and West Africa, bordering five countries."
"1711","Mauritius","1","The extinct dodo bird, once native here, is a national symbol."
"1712","Mauritius","2","It comprises multiple islands, including Rodrigues and Agalega, in the Indian Ocean."
"1713","Mauritius","3","A UNESCO World Heritage site here marks its indentured labor history."
"1714","Mauritius","4","Independence from Britain was achieved in 1968, becoming a republic in 1992."
"1715","Mauritius","5","It has no official language, but English and French are widely used."
"1716","Mauritius","6","The economy thrives on tourism, sugar, and financial services."
"1717","Mauritius","7","Its volcanic origin is surrounded by coral reefs."
"1718","Mauritius","8","The capital is a vibrant port city."
"1719","Mauritius","9","It is known for its multicultural society, blending African, Indian, and European influences."
"1720","Mauritius","10","Pristine beaches and luxury resorts make it a top honeymoon destination."
"1721","Mozambique","1","Its flag uniquely features an AK-47, symbolizing defense and agriculture."
"1722","Mozambique","2","It is the only one-word country name with all five vowels."
"1723","Mozambique","3","A UNESCO site here was a key Portuguese colonial hub."
"1724","Mozambique","4","Independence from Portugal came in 1975 after a long struggle."
"1725","Mozambique","5","Over 40 languages are spoken, with Portuguese as the official language."
"1726","Mozambique","6","The economy relies on agriculture, with cashews and prawns as major exports."
"1727","Mozambique","7","Its 1,500-mile Indian Ocean coastline is dotted with coral reefs."
"1728","Mozambique","8","The capital, known as the ‘City of Acacias,’ is a southern hub."
"1729","Mozambique","9","It borders six countries, including Tanzania and South Africa."
"1730","Mozambique","10","It is famed for untouched beaches and marine biodiversity."
"1731","Namibia","1","The world’s largest underground lake lies beneath its Kalahari Desert."
"1732","Namibia","2","It is the second-least densely populated country globally."
"1733","Namibia","3","The Namib Desert, the oldest in the world, spans 55 million years."
"1734","Namibia","4","It was the first to include environmental protection in its constitution."
"1735","Namibia","5","Independence from South Africa was gained in 1990."
"1736","Namibia","6","It hosts the largest free-roaming cheetah and black rhino populations."
"1737","Namibia","7","Desert-adapted elephants thrive in its arid ecosystems."
"1738","Namibia","8","The capital, meaning ‘windy corner,’ is centrally located."
"1739","Namibia","9","The Skeleton Coast is named for its shipwrecks and whale bones."
"1740","Namibia","10","Diverse landscapes include Etosha National Park and towering dunes."
"1741","Niger","1","A 30-foot herbivorous dinosaur, named after this country, lived here 100 million years ago."
"1742","Niger","2","It hosts the world’s tallest mud-brick minaret in Agadez."
"1743","Niger","3","The Aïr and Ténéré Natural Reserves span 7.7 million hectares, Africa’s largest protected area."
"1744","Niger","4","It is part of the Great Green Wall project to combat desertification."
"1745","Niger","5","The Gerewol Festival, a Wodaabe courtship event, is a vibrant cultural highlight."
"1746","Niger","6","Independence from France was achieved in 1960."
"1747","Niger","7","The Niger River, clear due to low silt, is a vital lifeline."
"1748","Niger","8","French is the official language, with eight national languages."
"1749","Niger","9","It borders seven countries, including Algeria and Nigeria."
"1750","Niger","10","Known as the ‘Frying Pan of the World,’ it is one of the hottest nations."
"1751","Nigeria","1","It has the world’s highest twin birth rate, especially in Igbo-Ora."
"1752","Nigeria","2","Nollywood, its film industry, is the second-largest globally by volume."
"1753","Nigeria","3","Over 500 languages are spoken, with English as the official language."
"1754","Nigeria","4","It is Africa’s largest oil producer, fueling its economy."
"1755","Nigeria","5","The Nok culture, dating to 500 BC, thrived here with early ironwork."
"1756","Nigeria","6","Independence from Britain was gained in 1960."
"1757","Nigeria","7","It is nearly evenly split between Christianity and Islam."
"1758","Nigeria","8","The Niger River, Africa’s third-longest, flows through its west."
"1759","Nigeria","9","Lagos, its largest city, is Africa’s biggest urban center."
"1760","Nigeria","10","It is Africa’s most populous country, with over 200 million people."
