"id","country","fact_number","fact"
"1550","Slovenia","10","An EU member, it uses the euro as its currency."
"1551","Spain","1","An annual festival here features the world’s largest tomato fight."
"1552","Spain","2","Children here expect a mouse, not a fairy, to collect their lost teeth."
"1553","Spain","3","The world’s oldest restaurant, operating since 1725, is found here."
"1554","Spain","4","Men dressed as devils parade in a vibrant local festival."
"1555","Spain","5","It ranks as the world’s second most-visited country, after France."
"1556","Spain","6","Over 4,000 hours of sunshine annually make it Europe’s sunniest."
"1557","Spain","7","A passionate dance, flamenco, originated in its southern region."
"1558","Spain","8","High-speed trains connect cities at speeds up to 300 km/h."
"1559","Spain","9","A rice dish, paella, is a culinary icon from its coastal areas."
"1560","Spain","10","It’s an EU member using the euro as its currency."
"1561","Sweden","1","A hotel made entirely of ice is rebuilt here every winter."
"1562","Sweden","2","Midsummer is celebrated with maypole dancing and flower crowns."
"1563","Sweden","3","The world’s first open-air museum opened here in 1891."
"1564","Sweden","4","A law allows public access to private land for recreation."
"1565","Sweden","5","It boasts a high number of Nobel Prize winners for its size."
"1566","Sweden","6","Over 100,000 lakes, including Europe’s largest, dot its landscape."
"1567","Sweden","7","Global design brands like IKEA and H&M originated here."
"1568","Sweden","8","Coffee breaks, called “fika,” are a cherished social ritual."
"1569","Sweden","9","Tap water is safe to drink everywhere due to high standards."
"1570","Sweden","10","It uses the krona, not the euro, despite EU membership."
"1571","Switzerland","1","Every building here must have access to a nuclear fallout shelter."
"1572","Switzerland","2","It hosts the world’s longest staircase, with 11,674 steps."
"1573","Switzerland","3","Only 1% of its wine is exported, enjoyed mostly locally."
"1574","Switzerland","4","The alphorn, a long wooden instrument, is a cultural symbol."
"1575","Switzerland","5","It’s home to CERN, the world’s leading particle physics lab."
"1576","Switzerland","6","Over 7,000 lakes add to its stunning alpine scenery."
"1577","Switzerland","7","It produces 450 varieties of cheese, a global leader."
"1578","Switzerland","8","The Matterhorn, a famous peak, graces a popular chocolate brand."
"1579","Switzerland","9","Four official languages—German, French, Italian, Romansh—are spoken."
"1580","Switzerland","10","It uses the Swiss franc, not the euro, and isn’t in the EU."
"1581","Ukraine","1","This country has Europe’s largest desert, a sandy expanse in the south."
"1582","Ukraine","2","Its capital’s metro station is the world’s second-deepest at 105.5 meters."
"1583","Ukraine","3","Intricate Easter egg designs, called pysanky, are a cultural tradition."
"1584","Ukraine","4","Seven UNESCO sites include a historic cathedral in the capital."
"1585","Ukraine","5","Borscht, a beetroot soup, is the national dish."
"1586","Ukraine","6","Cossacks, famed for their military skills, shaped its history."
"1587","Ukraine","7","It’s Europe’s second-largest country by area, over 600,000 square kilometers."
"1588","Ukraine","8","The Carpathian Mountains and Black Sea coast define its terrain."
"1589","Ukraine","9","It’s a top producer of sunflower oil, with vast sunflower fields."
"1590","Ukraine","10","It uses the hryvnia and isn’t an EU member."
"1591","Vatican City","1","This is the world’s smallest country, just 0.44 square kilometers."
"1592","Vatican City","2","It has its own post office, mint, and railway despite its size."
"1593","Vatican City","3","The head of state is also the global leader of a major religion."
"1594","Vatican City","4","Its legal system is based on religious canon law."
"1595","Vatican City","5","A chapel here features iconic Renaissance ceiling frescoes."
"1596","Vatican City","6","The flag displays crossed keys and a papal crown."
"1597","Vatican City","7","It holds observer status at the United Nations, not full membership."
"1598","Vatican City","8","Fewer than 1,000 people, mostly clergy, live here."
"1599","Vatican City","9","Its museums house one of the world’s largest art collections."
"1600","Vatican City","10","It uses the euro, though not an EU member."
